player_id,season,position,time_in_role,league,total_time,role_share
AaitIs00,2013,NT,45.0,NFL,45.0,1.0
AbanIs00,2023,RB,82.0,NFL,82.0,1.0
AbbrJa00,2015,WR,220.0,NFL,220.0,1.0
AbbrJa00,2016,WR,62.0,NFL,62.0,1.0
AbbrJa00,2017,WR,208.0,NFL,208.0,1.0
AbdeMe00,2016,DE,33.0,NFL,33.0,1.0
AbduAm00,2015,RB,427.0,NFL,427.0,1.0
AbduAm00,2016,RB,58.0,NFL,58.0,1.0
AbduAm00,2017,RB,389.0,NFL,389.0,1.0
AbduAm00,2018,RB,116.0,NFL,116.0,1.0
AbduAm00,2019,RB,434.0,NFL,434.0,1.0
AbduAm00,2020,RB,326.0,NFL,326.0,1.0
AbduAm00,2021,RB,421.0,NFL,421.0,1.0
AbduAm00,2022,RB,400.0,NFL,400.0,1.0
AbduAm00,2023,RB,472.0,NFL,472.0,1.0
AbduAm00,2024,RB,602.0,NFL,602.0,1.0
AbduHu99,2013,FS,761.0,NFL,761.0,1.0
AbduHu99,2014,FS,1159.0,NFL,1159.0,1.0
AbduHu99,2015,FS,632.0,NFL,632.0,1.0
AbduIs00,2013,FS,320.0,NFL,320.0,1.0
AbduIs00,2014,SS,611.0,NFL,611.0,1.0
AbduIs00,2015,FS,842.0,NFL,842.0,1.0
AbduIs00,2016,FS,808.0,NFL,977.0,0.827021494370522
AbduIs00,2016,S,169.0,NFL,977.0,0.172978505629478
AbduYa00,2023,LB,45.0,NFL,45.0,1.0
AbduYa00,2024,LB,429.0,NFL,429.0,1.0
AberMi00,2022,DB,6.0,NFL,14.0,0.42857142857142855
AberMi00,2022,FS,8.0,NFL,14.0,0.5714285714285714
AberMi00,2023,FS,296.0,NFL,296.0,1.0
AberMi00,2024,FS,110.0,NFL,110.0,1.0
AbouOd00,2014,T,781.0,NFL,781.0,1.0
AbouOd00,2015,G,192.0,NFL,424.0,0.4528301886792453
AbouOd00,2015,T,232.0,NFL,424.0,0.5471698113207547
AbouOd00,2016,G,363.0,NFL,363.0,1.0
AbouOd00,2017,G,596.0,NFL,596.0,1.0
AbouOd00,2018,G,428.0,NFL,428.0,1.0
AbouOd00,2019,G,168.0,NFL,168.0,1.0
AbouOd00,2020,OL,693.0,NFL,693.0,1.0
AbouOd00,2021,G,315.0,NFL,315.0,1.0
AbouOd00,2022,G,401.0,NFL,401.0,1.0
AbraDe00,2020,CB,12.0,NFL,32.0,0.375
AbraDe00,2020,DB,20.0,NFL,32.0,0.625
AbraJo00,2013,LB,925.0,NFL,925.0,1.0
AbraJo00,2014,LB,38.0,NFL,38.0,1.0
AbraJo01,2019,FS,52.0,NFL,52.0,1.0
AbraJo01,2020,DB,132.0,NFL,964.0,0.13692946058091288
AbraJo01,2020,S,700.0,NFL,964.0,0.7261410788381742
AbraJo01,2020,SS,132.0,NFL,964.0,0.13692946058091288
AbraJo01,2021,SS,1052.0,NFL,1052.0,1.0
AbraJo01,2022,SS,722.0,NFL,722.0,1.0
AbraJo01,2023,SS,322.0,NFL,322.0,1.0
AbraJo01,2024,SS,153.0,NFL,153.0,1.0
AbraKr00,2024,CB,167.0,NFL,167.0,1.0
AchaDe00,2023,RB,330.0,NFL,330.0,1.0
AchaDe00,2024,RB,710.0,NFL,710.0,1.0
AchoEm00,2013,LB,89.0,NFL,89.0,1.0
AchoEm00,2014,LB,368.0,NFL,368.0,1.0
AchoSa00,2013,LB,161.0,NFL,161.0,1.0
AchoSa00,2014,LB,759.0,NFL,759.0,1.0
AchoSa00,2015,LB,731.0,NFL,731.0,1.0
AchoSa00,2016,LB,763.0,NFL,763.0,1.0
AchoSa00,2017,LB,862.0,NFL,862.0,1.0
AchoSa00,2018,LB,63.0,NFL,63.0,1.0
AchoSa00,2019,LB,206.0,NFL,206.0,1.0
AckeKe00,2015,CB,990.0,NFL,990.0,1.0
AckeKe00,2016,CB,235.0,NFL,235.0,1.0
AckeKe00,2017,CB,447.0,NFL,447.0,1.0
AdamAn00,2016,SS,878.0,NFL,878.0,1.0
AdamAn00,2017,FS,590.0,NFL,590.0,1.0
AdamAn00,2018,FS,541.0,NFL,541.0,1.0
AdamAn00,2019,FS,780.0,NFL,780.0,1.0
AdamAn00,2020,S,363.0,NFL,439.0,0.826879271070615
AdamAn00,2020,SS,76.0,NFL,439.0,0.17312072892938496
AdamAn00,2021,SS,511.0,NFL,511.0,1.0
AdamAn00,2022,SS,825.0,NFL,825.0,1.0
AdamAn00,2023,SS,71.0,NFL,71.0,1.0
AdamDa01,2014,WR,909.0,NFL,909.0,1.0
AdamDa01,2015,WR,801.0,NFL,801.0,1.0
AdamDa01,2016,WR,1078.0,NFL,1078.0,1.0
AdamDa01,2017,WR,777.0,NFL,777.0,1.0
AdamDa01,2018,WR,954.0,NFL,954.0,1.0
AdamDa01,2019,WR,798.0,NFL,798.0,1.0
AdamDa01,2020,WR,911.0,NFL,911.0,1.0
AdamDa01,2021,WR,945.0,NFL,945.0,1.0
AdamDa01,2022,WR,1045.0,NFL,1045.0,1.0
AdamDa01,2023,WR,966.0,NFL,966.0,1.0
AdamDa01,2024,WR,793.0,NFL,793.0,1.0
AdamIs01,2024,G,528.0,NFL,528.0,1.0
AdamJa00,2017,SS,1205.0,NFL,1205.0,1.0
AdamJa00,2018,SS,1173.0,NFL,1173.0,1.0
AdamJa00,2019,SS,1001.0,NFL,1001.0,1.0
AdamJa00,2020,DB,79.0,NFL,876.0,0.09018264840182648
AdamJa00,2020,SS,797.0,NFL,876.0,0.9098173515981736
AdamJa00,2021,SS,872.0,NFL,872.0,1.0
AdamJa00,2022,SS,15.0,NFL,15.0,1.0
AdamJa00,2023,SS,518.0,NFL,518.0,1.0
AdamJa00,2024,SS,43.0,NFL,43.0,1.0
AdamJe00,2014,T,12.0,NFL,12.0,1.0
AdamJe00,2015,G,78.0,NFL,121.0,0.6446280991735537
AdamJe00,2015,T,43.0,NFL,121.0,0.35537190082644626
AdamJe01,2016,TE,231.0,NFL,231.0,1.0
AdamJe01,2017,TE,381.0,NFL,381.0,1.0
AdamJe01,2019,TE,5.0,NFL,5.0,1.0
AdamJo02,2013,DB,49.0,NFL,49.0,1.0
AdamJo03,2018,RB,301.0,NFL,301.0,1.0
AdamJo03,2019,RB,39.0,NFL,39.0,1.0
AdamJo03,2020,RB,121.0,NFL,121.0,1.0
AdamJo03,2021,RB,11.0,NFL,11.0,1.0
AdamKy00,2013,TE,129.0,NFL,129.0,1.0
AdamMa00,2018,LB,557.0,NFL,557.0,1.0
AdamMa00,2019,LB,410.0,NFL,410.0,1.0
AdamMa00,2020,LB,171.0,NFL,171.0,1.0
AdamMa00,2021,LB,353.0,NFL,353.0,1.0
AdamMa00,2022,LB,393.0,NFL,393.0,1.0
AdamMa00,2023,LB,558.0,NFL,558.0,1.0
AdamMa00,2024,LB,307.0,NFL,307.0,1.0
AdamMi02,2013,T,547.0,NFL,547.0,1.0
AdamMi02,2014,T,466.0,NFL,466.0,1.0
AdamMi02,2016,T,138.0,NFL,138.0,1.0
AdamMi21,2013,SS,1137.0,NFL,1137.0,1.0
AdamMi21,2014,SS,1254.0,NFL,1254.0,1.0
AdamMi21,2015,SS,899.0,NFL,899.0,1.0
AdamMi21,2016,SS,1092.0,NFL,1092.0,1.0
AdamMi21,2017,SS,1106.0,NFL,1106.0,1.0
AdamMi21,2018,FS,1009.0,NFL,1009.0,1.0
AdamMi21,2019,FS,202.0,NFL,202.0,1.0
AdamMi98,2013,CB,159.0,NFL,159.0,1.0
AdamMo00,2017,DT,88.0,NFL,88.0,1.0
AdamMo00,2018,NT,294.0,NFL,294.0,1.0
AdamMo00,2019,DE,305.0,NFL,305.0,1.0
AdamMo00,2020,DL,201.0,NFL,201.0,1.0
AdamMo00,2021,DE,337.0,NFL,337.0,1.0
AdamMo00,2022,DE,46.0,NFL,326.0,0.1411042944785276
AdamMo00,2022,NT,280.0,NFL,326.0,0.8588957055214724
AdamMo00,2023,NT,490.0,NFL,490.0,1.0
AdamMo00,2024,NT,230.0,NFL,230.0,1.0
AdamMy00,2021,DT,33.0,NFL,33.0,1.0
AdamMy00,2022,DE,208.0,NFL,218.0,0.9541284403669725
AdamMy00,2022,DT,10.0,NFL,218.0,0.045871559633027525
AdamMy00,2023,DE,116.0,NFL,116.0,1.0
AdamMy00,2024,DE,103.0,NFL,103.0,1.0
AdamPh00,2013,CB,497.0,NFL,497.0,1.0
AdamPh00,2014,CB,402.0,NFL,402.0,1.0
AdamPh00,2015,CB,534.0,NFL,534.0,1.0
AdamRo01,2021,WR,10.0,NFL,10.0,1.0
AdamTo03,2022,DB,40.0,NFL,246.0,0.16260162601626016
AdamTo03,2022,FS,206.0,NFL,246.0,0.8373983739837398
AdamTo03,2023,FS,918.0,NFL,918.0,1.0
AdamTo03,2024,FS,809.0,NFL,809.0,1.0
AdamTy00,2016,LB,96.0,NFL,96.0,1.0
AdamTy00,2017,LB,217.0,NFL,217.0,1.0
AdamTy00,2018,LB,91.0,NFL,91.0,1.0
AdamTy00,2019,LB,194.0,NFL,194.0,1.0
AdamTy00,2020,ILB,901.0,NFL,934.0,0.9646680942184154
AdamTy00,2020,LB,33.0,NFL,934.0,0.035331905781584586
AdamTy00,2021,LB,127.0,NFL,127.0,1.0
AddaJa00,2013,FS,748.0,NFL,748.0,1.0
AddaJa00,2014,SS,558.0,NFL,558.0,1.0
AddaJa00,2015,SS,756.0,NFL,756.0,1.0
AddaJa00,2016,SS,526.0,NFL,526.0,1.0
AddaJa00,2017,SS,1093.0,NFL,1093.0,1.0
AddaJa00,2018,SS,1232.0,NFL,1232.0,1.0
AddaJa00,2019,FS,733.0,NFL,733.0,1.0
AddaJa00,2020,DB,77.0,NFL,338.0,0.22781065088757396
AddaJa00,2020,S,261.0,NFL,338.0,0.772189349112426
AddaJa00,2021,FS,220.0,NFL,220.0,1.0
AddeNa00,2019,FS,61.0,NFL,61.0,1.0
AddeNa00,2020,S,1012.0,NFL,1012.0,1.0
AddeNa00,2021,FS,1065.0,NFL,1065.0,1.0
AddeNa00,2022,FS,1003.0,NFL,1003.0,1.0
AddiBr01,2016,WR,21.0,NFL,21.0,1.0
AddiJo00,2023,WR,921.0,NFL,921.0,1.0
AddiJo00,2024,WR,887.0,NFL,887.0,1.0
AddiMa00,2013,DE,574.0,NFL,574.0,1.0
AddiMa00,2014,DE,627.0,NFL,627.0,1.0
AddiMa00,2015,DE,585.0,NFL,585.0,1.0
AddiMa00,2016,DE,543.0,NFL,543.0,1.0
AddiMa00,2017,DE,711.0,NFL,711.0,1.0
AddiMa00,2018,DE,676.0,NFL,676.0,1.0
AddiMa00,2019,LB,737.0,NFL,737.0,1.0
AddiMa00,2020,DE,828.0,NFL,828.0,1.0
AddiMa00,2021,DE,545.0,NFL,545.0,1.0
AddiMa00,2022,DE,380.0,NFL,380.0,1.0
AddiTu00,2022,LS,24.0,NFL,24.0,1.0
AddiTu00,2023,LS,21.0,NFL,21.0,1.0
AddiTu00,2024,LS,34.0,NFL,34.0,1.0
AdebAd00,2023,DE,58.0,NFL,206.0,0.2815533980582524
AdebAd00,2023,DT,148.0,NFL,206.0,0.7184466019417476
AdebAd00,2024,DT,359.0,NFL,359.0,1.0
AdebPa00,2021,CB,936.0,NFL,994.0,0.9416498993963782
AdebPa00,2021,DB,58.0,NFL,994.0,0.05835010060362173
AdebPa00,2022,CB,820.0,NFL,820.0,1.0
AdebPa00,2023,CB,954.0,NFL,954.0,1.0
AdebPa00,2024,CB,438.0,NFL,438.0,1.0
AdebQu00,2017,WR,38.0,NFL,38.0,1.0
AdenHa00,2020,G,182.0,NFL,294.0,0.6190476190476191
AdenHa00,2020,G/OT,63.0,NFL,294.0,0.21428571428571427
AdenHa00,2020,OT,49.0,NFL,294.0,0.16666666666666666
AdenHa00,2021,G,824.0,NFL,824.0,1.0
AdenHa00,2022,G,503.0,NFL,503.0,1.0
AdenHa00,2023,G,17.0,NFL,17.0,1.0
AdenOl00,2018,LB,9.0,NFL,9.0,1.0
AdenOl00,2019,LB,284.0,NFL,284.0,1.0
AdenOl00,2020,LB,405.0,NFL,465.0,0.8709677419354839
AdenOl00,2020,OLB,60.0,NFL,465.0,0.12903225806451613
AdenOl00,2021,LB,557.0,NFL,557.0,1.0
AdenOl00,2022,LB,91.0,NFL,91.0,1.0
AdeoAa00,2020,OLB,16.0,NFL,16.0,1.0
AdjeJu00,2015,DB,591.0,NFL,591.0,1.0
AdjeJu00,2016,CB,385.0,NFL,385.0,1.0
AdkiNa00,2023,TE,157.0,NFL,157.0,1.0
AdkiNa00,2024,TE,724.0,NFL,724.0,1.0
AdomCa00,2022,LS,150.0,NFL,150.0,1.0
AdomCa00,2023,LS,148.0,NFL,148.0,1.0
AdomCa00,2024,LS,140.0,NFL,140.0,1.0
AdonDa00,2013,LB,31.0,NFL,31.0,1.0
AdonDa00,2015,LB,70.0,NFL,70.0,1.0
AghoNe00,2015,WR,670.0,NFL,670.0,1.0
AghoNe00,2016,WR,902.0,NFL,902.0,1.0
AghoNe00,2017,WR,966.0,NFL,966.0,1.0
AghoNe00,2018,WR,1090.0,NFL,1090.0,1.0
AghoNe00,2019,WR,693.0,NFL,693.0,1.0
AghoNe00,2020,WR,731.0,NFL,731.0,1.0
AghoNe00,2021,WR,759.0,NFL,759.0,1.0
AghoNe00,2022,WR,476.0,NFL,476.0,1.0
AghoNe00,2023,WR,652.0,NFL,652.0,1.0
AghoNe00,2024,WR,466.0,NFL,466.0,1.0
AgimMc00,2020,DL,157.0,NFL,157.0,1.0
AgimMc00,2021,DE,93.0,NFL,93.0,1.0
AgimMc00,2023,DE,19.0,NFL,19.0,1.0
AgneJa00,2017,CB,284.0,NFL,284.0,1.0
AgneJa00,2018,CB,188.0,NFL,188.0,1.0
AgneJa00,2019,CB,206.0,NFL,206.0,1.0
AgneJa00,2020,RB/W,401.0,NFL,401.0,1.0
AgneJa00,2021,WR,359.0,NFL,359.0,1.0
AgneJa00,2022,WR,298.0,NFL,298.0,1.0
AgneJa00,2023,WR,292.0,NFL,292.0,1.0
AgneRa00,2014,FB,240.0,NFL,240.0,1.0
AguaRo00,2016,K,144.0,NFL,144.0,1.0
AgudMi01,2024,LB,95.0,NFL,95.0,1.0
